ref,author,title,votes,language,has_gpu,has_tpu,approach_tags,import_tags,sloc,is_fork,parent_ref,has_optimizer,is_analysis,is_solution,is_ensemble,url,local_path,top_score,team,lb_rank
tobimichigan/christmas-tree-packing-optimization-algorithm,Handsonlabs Software Academy,Christmas Tree Packing Optimization Algorithm,25,,false,false,SA;Ensemble;Physics;Greedy,joblib;matplotlib;numpy;pandas;scipy;shapely;sklearn;tensorflow,945,False,,True,False,True,True,https://www.kaggle.com/code/tobimichigan/christmas-tree-packing-optimization-algorithm,downloaded/tobimichigan_christmas-tree-packing-optimization-algorithm,,,
hanifnoerrofiq/blend-em-all,Hanif Noer Rofiq,blend 'em all,8,,false,false,Ensemble,pandas,34,False,,False,False,True,True,https://www.kaggle.com/code/hanifnoerrofiq/blend-em-all,downloaded/hanifnoerrofiq_blend-em-all,68.710286353194,Hanif Noer Rofiq,265
mygaps/ensemble-with-collision-resolver,Maxim Gerasimov,Ensemble with Collision Resolver,4,,false,false,SA;Translation;Ensemble,numba;numpy;pandas;shapely,1259,False,,True,False,True,True,https://www.kaggle.com/code/mygaps/ensemble-with-collision-resolver,downloaded/mygaps_ensemble-with-collision-resolver,70.250113106141,Maxim Gerasimov,270
jazivxt/team-optimization-template,jazivxt,Team Optimization Template,23,,false,false,Translation;Ensemble,numpy;pandas;shapely,540,False,,True,False,True,True,https://www.kaggle.com/code/jazivxt/team-optimization-template,downloaded/jazivxt_team-optimization-template,70.859592457139,Very Ape,64
jazivxt/teamwork-dreamwork,jazivxt,🐦🇨‌  - Teamwork Dreamwork,54,,false,false,Sparrow;Translation;Ensemble;Greedy,,270,False,,True,False,True,True,https://www.kaggle.com/code/jazivxt/teamwork-dreamwork,downloaded/jazivxt_teamwork-dreamwork,78.220816873246,Very Ape,64
nikitakuznetsof/just-luck,[Novosibirsk] Nikita Kuznetsov,Just luck,45,,false,false,Ensemble,matplotlib;numpy;pandas;shapely,488,False,,True,False,True,True,https://www.kaggle.com/code/nikitakuznetsof/just-luck,downloaded/nikitakuznetsof_just-luck,70.250334780148,KIT,83
datafad/bbox-basic,🔥🦫📿🗽,BBox Basic,103,,false,false,Ensemble,,5,False,,False,False,True,True,https://www.kaggle.com/code/datafad/bbox-basic,downloaded/datafad_bbox-basic,70.426154192257,Tree Cuts,206
roshaw/new-year-same-old-bbox,Robert,"New Year, Same Old BBOX",67,,false,false,Ensemble,numba;numpy;pandas;shapely,174,False,,False,False,True,True,https://www.kaggle.com/code/roshaw/new-year-same-old-bbox,downloaded/roshaw_new-year-same-old-bbox,70.771927033128,Tree Cuts,206
daniilkrizhanovskyi/new-year-same-old-bbox,Daniil Krizhanovskyi,"New Year, Same Old BBOX",29,,false,false,Ensemble,numpy;pandas,348,False,,True,False,True,True,https://www.kaggle.com/code/daniilkrizhanovskyi/new-year-same-old-bbox,downloaded/daniilkrizhanovskyi_new-year-same-old-bbox,70.924270178389,,
akashbethe/santa-2025-ml-notebook,Akash Bethe,Santa 2025 ML Notebook,3,,false,false,Ensemble,matplotlib;numpy;pandas;sklearn,137,False,,False,True,True,True,https://www.kaggle.com/code/akashbethe/santa-2025-ml-notebook,downloaded/akashbethe_santa-2025-ml-notebook,,,
datafad/fork-of-the-fork,🔥🦫📿🗽,Fork of the fork,138,,false,false,Ensemble,numba;numpy;pandas;shapely,172,True,the-fork,False,False,True,True,https://www.kaggle.com/code/datafad/fork-of-the-fork,downloaded/datafad_fork-of-the-fork,70.331168590014,Tree Cuts,206
raviganjir/notebook1b6e2a5de7,Ravi-Quantum-Circle,notebook1b6e2a5de7,0,,false,false,Ensemble;Physics,numpy;pandas;sklearn;tensorflow,1665,False,,True,False,True,True,https://www.kaggle.com/code/raviganjir/notebook1b6e2a5de7,downloaded/raviganjir_notebook1b6e2a5de7,,,
cdeotte/compare-two-public-notebooks,Chris Deotte,Compare Two Public Notebooks,58,,false,false,Translation;Ensemble,matplotlib;pandas;shapely,198,True,,False,True,True,True,https://www.kaggle.com/code/cdeotte/compare-two-public-notebooks,downloaded/cdeotte_compare-two-public-notebooks,,,
smartmanoj/santa-packing-gpu-accelerated-simulated-anneal,Smart Manoj,🎄 Santa Packing: GPU-Accelerated Simulated Anneal,1,,false,false,Ensemble,numpy;pandas;scipy;shapely,659,False,,True,False,True,True,https://www.kaggle.com/code/smartmanoj/santa-packing-gpu-accelerated-simulated-anneal,downloaded/smartmanoj_santa-packing-gpu-accelerated-simulated-anneal,,Smart Manoj,116
sacuscreed/santa2025-solutions-guided-refinement,Ángel Jacinto Sánchez Ruiz,Santa2025 - Solutions Guided Refinement,111,,false,false,Sparrow;Translation;Ensemble,matplotlib;numpy;pandas;shapely,774,False,,True,False,True,True,https://www.kaggle.com/code/sacuscreed/santa2025-solutions-guided-refinement,downloaded/sacuscreed_santa2025-solutions-guided-refinement,71.366433826911,Let me solo her!,72
adityapawar327/santa-2025-christmas-tree-packing-challenge-v1,Aditya,Santa 2025 - Christmas Tree Packing Challenge V1,8,,false,false,SA;Ensemble,matplotlib;numpy;pandas;shapely,238,False,,True,False,True,True,https://www.kaggle.com/code/adityapawar327/santa-2025-christmas-tree-packing-challenge-v1,downloaded/adityapawar327_santa-2025-christmas-tree-packing-challenge-v1,85.918996026739,,
abhinavsharma0706/santa-25,Abhinav Sharma,Santa-25,15,,false,false,Translation;Ensemble,numpy;pandas;shapely,157,False,,True,False,True,True,https://www.kaggle.com/code/abhinavsharma0706/santa-25,downloaded/abhinavsharma0706_santa-25,71.007879805097,,
smartmanoj/santa-claude-single-group-optimizer,Smart Manoj,Santa Claude | Single Group Optimizer,76,,false,false,Sparrow;Ensemble,,631,False,,True,False,True,True,https://www.kaggle.com/code/smartmanoj/santa-claude-single-group-optimizer,downloaded/smartmanoj_santa-claude-single-group-optimizer,70.734970667078,Smart Manoj,116
blueshyy/santa-2025-ensemble-sa-greedy-backtracking-tes,Zelin Huang,Santa 2025 ensemble + SA + greedy_backtracking tes,114,,false,false,SA;Ensemble;Physics,multiprocessing;pandas;shapely,823,False,,True,False,True,True,https://www.kaggle.com/code/blueshyy/santa-2025-ensemble-sa-greedy-backtracking-tes,downloaded/blueshyy_santa-2025-ensemble-sa-greedy-backtracking-tes,,ST,143
hwkims/fork-of-fork-of-exp-annealing-hybrid,Hyun-woo Kim,Fork of fork of exp-annealing-hybrid,13,,false,false,Ensemble;Physics,matplotlib;numpy;pandas;shapely,233,True,fork-of-exp-annealing-hybrid,True,False,True,True,https://www.kaggle.com/code/hwkims/fork-of-fork-of-exp-annealing-hybrid,downloaded/hwkims_fork-of-fork-of-exp-annealing-hybrid,86.166670742874,,
abhishekgodara/fork-of-santa-submission-happy-new-year,Abhishek Godara,Fork of Santa submission 🎅🎅| happy new year 🎉🎉,69,,false,false,Ensemble,numba;numpy;pandas;shapely,178,True,santa-submission-happy-new-year,False,False,True,True,https://www.kaggle.com/code/abhishekgodara/fork-of-santa-submission-happy-new-year,downloaded/abhishekgodara_fork-of-santa-submission-happy-new-year,70.778841999636,ST,143
chistyakov/santa-2025-simple-optimization-new-slow-version,Stanislav Chistyakov,Santa 2025 - simple optimization(new slow version),134,,false,false,Translation;Ensemble,pandas;shapely,143,False,,False,False,True,True,https://www.kaggle.com/code/chistyakov/santa-2025-simple-optimization-new-slow-version,downloaded/chistyakov_santa-2025-simple-optimization-new-slow-version,72.607855011665,ST,143
jonathanchan/santa25-ensemble-sa-fractional-translation,Jonathan Chan,[Santa25] Ensemble + SA + Fractional Translation,192,,false,false,Translation;Ensemble,matplotlib;numba;numpy;pandas;scipy;shapely,2837,False,,True,False,True,True,https://www.kaggle.com/code/jonathanchan/santa25-ensemble-sa-fractional-translation,downloaded/jonathanchan_santa25-ensemble-sa-fractional-translation,72.239752955939,IC2,163
seshurajup/71-78-jit-parallel-sa-c-tpu-96-cores,SeshuRaju 🧘‍♂️,🎄[71.78+]🎄JIT & Parallel SA C++ & TPU[96 Cores],117,,false,false,Translation;Ensemble;Greedy,jax;numba;numpy;pandas,719,False,,False,True,True,True,https://www.kaggle.com/code/seshurajup/71-78-jit-parallel-sa-c-tpu-96-cores,downloaded/seshurajup_71-78-jit-parallel-sa-c-tpu-96-cores,,,
egortrushin/santa25-fractional-translation-of-solutions,Egor Trushin,[Santa25] Fractional translation of solutions,105,,false,false,Translation;Ensemble,multiprocessing;numpy;pandas;shapely,221,False,,False,False,True,True,https://www.kaggle.com/code/egortrushin/santa25-fractional-translation-of-solutions,downloaded/egortrushin_santa25-fractional-translation-of-solutions,74.656241067794,Santa AI Chaotic Elves,12
abhishekgodara/santa-s-tree-packing-score,Abhishek Godara,🎄 santa's tree packing | score 🔝🔝,85,,false,false,Ensemble,numba;numpy;pandas;shapely,172,False,,False,False,True,True,https://www.kaggle.com/code/abhishekgodara/santa-s-tree-packing-score,downloaded/abhishekgodara_santa-s-tree-packing-score,70.744159997638,ST,143
cdeotte/visualize-best-public-notebooks,Chris Deotte,Visualize Best Public Notebooks,105,,false,false,Translation;Ensemble;Physics;Greedy,matplotlib;numpy;pandas;shapely,240,False,,False,True,True,True,https://www.kaggle.com/code/cdeotte/visualize-best-public-notebooks,downloaded/cdeotte_visualize-best-public-notebooks,,,
abhishekgodara/santa-submission-happy-new-year,Abhishek Godara,Santa submission 🎅🎅| happy new year 🎉🎉,11,,false,false,Ensemble,numba;numpy;pandas;shapely,178,False,,False,False,True,True,https://www.kaggle.com/code/abhishekgodara/santa-submission-happy-new-year,downloaded/abhishekgodara_santa-submission-happy-new-year,70.924512150628,ST,143
jazivxt/team-optimization-blend,jazivxt,Team Optimization Blend,162,,false,false,Translation;Ensemble,numpy;pandas;shapely,449,False,,True,False,True,True,https://www.kaggle.com/code/jazivxt/team-optimization-blend,downloaded/jazivxt_team-optimization-blend,70.331635857675,Very Ape,64
egortrushin/santa25-translation-of-small-n-solutions,Egor Trushin,[Santa25] Translation of small-N solutions,95,,false,false,Ensemble,numpy;pandas;shapely,179,False,,False,False,True,True,https://www.kaggle.com/code/egortrushin/santa25-translation-of-small-n-solutions,downloaded/egortrushin_santa25-translation-of-small-n-solutions,84.324014076574,Santa AI Chaotic Elves,12
roshaw/santa2025-just-keep-on-trying,Robert,Santa2025 - Just Keep on Trying!,50,,false,false,Translation;Ensemble,matplotlib;numba;numpy;pandas;scipy;shapely,2834,False,,True,False,True,True,https://www.kaggle.com/code/roshaw/santa2025-just-keep-on-trying,downloaded/roshaw_santa2025-just-keep-on-trying,72.469621198369,Tree Cuts,206
